acn,ATCEquipment/NavFacility/Buildings,Aircraft,Airport,AirspaceStructure,ChartOrPublication,CompanyPolicy,Environment-NonWeatherRelated,Equipment/Tooling,HumanFactors,Incorrect/NotInstalled/UnavailablePart,LogbookEntry,MEL,Manuals,None,Procedure,SoftwareandAutomation,Staffing,Weather
2292081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2292482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2292635,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2292658,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2292903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2293409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2294125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2294958,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2295074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2295251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2295372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2295769,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2297036,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2297182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2297777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2298412,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2298483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2298899,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2298973,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2299448,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2300365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2300466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2300585,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2300853,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2301004,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2301293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301823,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2302055,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2302130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2302457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2303632,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2304571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2304686,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2305465,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2305728,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2306469,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2306558,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2313027,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963705,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1965800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1966956,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1971513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976420,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1978294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980310,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980314,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982432,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1982637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1982848,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1986551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989211,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1992695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1995187,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2059410,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
2066349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2267418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2279232,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2281081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2282144,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2285472,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2288344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2290350,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2290582,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2292509,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2292528,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2294338,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2294676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2294794,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2298894,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2300739,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2303860,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2306821,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1780062,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1780073,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1780240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1780300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1780317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780360,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780376,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1780494,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1780530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1780531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1780534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780552,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1780553,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1780559,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1780563,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780593,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780605,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780620,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780690,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780757,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1780770,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780784,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780793,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780803,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1780820,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1780845,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780850,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1780859,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780871,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1780881,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1780882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1780908,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780931,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780932,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1780938,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1780939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780942,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780947,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780949,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780950,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1780952,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1780959,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1780986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781021,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781064,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781083,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781084,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1781085,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781087,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1781107,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781110,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781116,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1781139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1781142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1781159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1781167,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1781169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1781172,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781176,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781190,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781200,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1781223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781308,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781313,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781352,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781368,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1781379,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781392,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781440,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1781456,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781462,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781468,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781482,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1781502,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781538,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1781539,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1781545,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1781548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1781549,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781552,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1781562,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781564,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1781565,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781592,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781605,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781639,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781646,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781711,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781714,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781721,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781727,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1781737,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1781739,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1781765,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1781775,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781777,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
1781782,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1781788,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781794,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1781839,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
1781854,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
1781881,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781894,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781908,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1781909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1781925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781927,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1781944,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1781945,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1781968,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1781991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782001,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782029,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782042,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782056,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1782067,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782074,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1782088,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782122,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782133,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782144,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782146,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1782162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782164,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1782167,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782181,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1782185,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782265,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1782281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1782286,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1782287,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1782302,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782312,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1782320,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782327,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1782329,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1782360,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
