,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1329541,staffing,On the most complex configuration at the airport. Aircraft Y came out for closed traffic. It had been busy all day but not sure of the amount of traffic at the time in the pattern. I asked the Front Line Manager (FLM) for a Local Assist multiple times and was ignored due to low staffing and not wanting to use overtime. Aircraft Y was in the upwind and as he turned crosswind being a General Aviation aircraft the turn to downwind can be unpredictable. He turned downwind late and became in close proximity to Aircraft X entering the downwind from the Northwest.I noticed they looked close and asked Aircraft X if he had Aircraft Y in sight. He responded 'yes but that got pretty close'. At this point I turned to the FLM and said 'I'm not joking around get me a local assist' I was ignored again. One of the other controllers in the tower working Flight Data told the FLM to take Flight Data and he slide into Local Assist to help. I was so busy I didn't get to follow up with aircraft X so I am unsure how close he was to Aircraft Y. We did approximately 1600 operations this day. This entire situation is preventable with a Local Assist to help watch during busy complex traffic. I knew this had the potential to get overwhelming based on how the flight school had been flying all morning. I asked for a Local Assist multiple times and was ignored multiple times due to almost no staffing available and being instructed we do not need overtime. Several other time[s] in the day controllers had to ask for similar help and all went ignored.Staffing at our facility was set at a level so low that we cannot do our jobs in a safe manner. Anytime we have 1 or 2 people on leave but we are considered 100% staffed. We need more people to run the level of traffic that we do plain and simple.,
1339288,staffing,Workload.  Planned daily in 8 hours.   Our workload sheet reflects a time that is generally 45 minutes before the calculation time of the release.  This is the case domestically.  I worked desk XX in the office and the following list is the times my worksheet reflected that I was within 45 minutes of the flight plan being calculated.  XA59; XB00; XB00; XB00; XB00; XB05; XB40; XC00; XC00; XC10; XC11; XC20; XC25; XC25; XC40; XD05; XD42; XD45; XE05; XE10; XE10; XE28; XE55; XF05; XF06; XF10; XF10; XF20; XF45; XF50; XF00; XG10; XG30; XG30; XG45; XG55; XH18; XH39; HI00; HI00; HI45.This safety report is concerning workload.  The job of a dispatcher is not data entry.  Looking at that list of times does not give a single opportunity to breath for a moment.  I was also given 2 [maintenance check flights] flights which can eat up considerable time conferencing the crews and keeping up on the ETD;s.  There was severe turbulence reports across the plains states as well as moderate reports across the entire country.  We receive hundreds of messages in a given 8 hour shift to sift thru.  There were atc reroutes.  SFO had heavy rain and winds with a flow program.   SNA had rain in the forecast which causes a landing weight issue if wet.  LAX had a chance of thunderstorms and rain that was moving into the area.  There were sigmets constantly being updated.   DFW had storms possible in the forecast.  [My Air Carriers] dispatchers work more than 1 fleet type which means more things to keep up with as they are all different with each having their own unique characteristics.  Looking at the list of times above there is not one moment to look away and gather ones thoughts on a good day.  There are very rare perfect days.  If you happen to have one; the list of release times above are still too much and that is without mentioning the city pairs that are being worked.  Phone calls; radio calls keep you busy.  I didn't even mention that instead of the 42 releases assigned to the desk that day I probably did them all 2 to 3 times as changes in the chop and weather forecasts was constantly changing.  There are many other things that come up that one has to address. I listed just a few of them on that given day.  The dispatch floor needs more desks in the domestic and international divisions.  Instead of opening these desks and covering them however they need to; the management team does not seem to want to address the workload issue until the dispatchers [of my Air Carrier] are integrated in with the [merger company] dispatchers.,
1339889,staffing,My developmental and I were paged back from break after 25 minutes so that we could go into the rotation as operational; instead of conducting OJT. The reason we were told is because we had people coming up on 2 hours TOP [Time On Position] and getting them out was more of a priority. We worked operational for about a half hour and then we took over the sector from the other developmental training at sectors 80/89. The developmental then was assigned our d-side for about a half hour before he was offered a break. During this time frame another developmental who is only checked out on one d-side had his training stopped so that his On the Job Training Instructor (OJTI) could also work operational instead of provide OJT.Tonight's staffing is at 8 Certified Professional Controllers (CPCs) and we have had 5 sectors open with d-sides assigned to at least 2 sectors. This is an unsafe situation and we are not even at the summer month's traffic levels yet. What do we need to do to get someone here on overtime? The number of bodies that we are starting shifts with has never been so low and yet we just keep working short. At some point we will need to open more sectors than we have bodies to fill the seats.Get us some overtime so we can get the developmental we have checked out and then send more bodies.,
1353386,staffing,I was working only one sector. I was informed by the Front Line Manager (FLM) that someone had to get out to be Controller in Charge (CIC) for the area while he went down to the front desk for a meeting with the Operations Manager. I believe that the FLM informed the Sector 11 controller that Sector 17 could be combined with my sector. Sector 11; then shouted over asking if I was ready to combine their sector. At this point; I was not aware that was the plan; and said hold on; let me get set up. Then I said I was ready. Sector 11 tried to call twice to give me the sector briefing; but was interrupted several times by the traffic they were working. After the entry; I realized that sector 11 had about 6 airplanes; and the departure list was over 30 at this point. I had about 4 or 5 aircraft in my sector so my volume was immediately doubled. I discovered there were aircraft on my frequency that I did not know about because they weren't displayed to me; and were not in sector 11 airspace yet for the auto acquisition. I then had to figure that out with some coordination in the area. Over the next 15-20 Minutes in my airspace I had several departures; 6-8 arrivals that I had to get down. I was quick looking the flow control display to see what I had to do with them. I also had 3 or 4 departures headed southbound; and several more arrivals that I had to get down. Several times; I asked why these sectors were combined; but I did not have time to make sure anyone heard me. It all happened so fast; I didn't realize I needed an Assist position until it was too late. These two sectors were busy combined; and aircraft blocking each other for about 20 minutes. I did not realize that one of the departures had already checked in even though I rogered him. He checked in when I was busy doing other duties in my sector. Aircraft X was the second arrival level at 13;000 feet I thought had already switched to the next sector. Aircraft X was head on with Aircraft Y. Aircraft Y was level at 12;000 north of TAPPA because I did not climb him; since I thought I was not talking to him. I assumed TRACON was still talking to him and calling traffic with Aircraft X. When the aircraft were about 10 miles opposite direction; the adjacent sector called me and asked for control. Since I only own down to 13;000 feet I said approved; assuming he was going to turn him. Next thing I see Aircraft X descending instead of turning; then Aircraft Y calls and says he is descending responding for an RA. I said roger; then shouted on the landline that Aircraft Y was descending for an RA. I told Controller in Charge about the RA; and the Front Line Manager was the one that heard me since he was near our desk as well; and he came over and took the information. It has been a continuing problem at ZDC that sectors are being combined when they shouldn't be for various reasons. I do not [know] why these sectors were combined; when it created a half a page of arrival flight plans and over 30 in the departure list. It's usually too busy to combine it up anywhere because of the nature of complexity. It seemed like there was enough staffing; there were CPC's doing extra training. I had also heard that this morning just before I got there that Sector 17 was still combined with other sectors was so busy the controller was not able to recognize that an aircraft flashing at TRACON was auto handing off incorrectly causing an airspace violation with TRACON. Sector 11 was split out too late; then another sector was needlessly combined with sector 17.And then after my incident; I requested to be off the sector. I informed the Controller In Charge that Sectors still had almost 30 departures; and he had someone de-combine sectors again. The sectors were only combined for about 30 minutes-during the push for each sector!! This makes no sense; and clearly shows the lack of safety culture at ZDC. That being said; I am well aware what I could have done better to avoid this all together; and had I been at just one sector working this situation; it would be a non-issue. I would have time to realize that I was talking to Aircraft Y and climbed him like I am supposed to do on departures. Even though our new procedures removed the arrival and departure built in spacing and now they are head on. This only works if both controllers do what they are supposed to; and even then we have aircraft climbing and descending in the face of each other.If this was me just working Sector 11 I also would have had more time to think about the situation; and had I not climbed the departure I would have called approach and told them sorry I forgot to climb him-what do you want me to now? Or when the approach controller called and asked for control of Aircraft X; I would have said 'oh sorry; I didn't climb Aircraft Y; he's still level at 12;000 feet; what do you want me to do? This could have been a reminder and helper aide for the TRACON controller as well. I also wish I realized it sooner; and called traffic to the aircraft I was talking to. I could have done more; as I believe I am a competent controller; however; I feel like I was set up for failure by the sectors erroneously being combined; when it made no sense!![I suggest] figure out how to combine and de-combine sectors effectively and efficiently so that there is a better safety culture at ZDC. We should all be in this together; not leaving the controller to fend for themselves with busy traffic at combined sectors; usually because of staffing; no overtime; no extra radar assists and other issues. And the answer is not just leave every sector open regardless; and don't open them and leave them open because a Front Line Manager isn't paying attention. We ALL have to be educated about the traffic flows and how the sectors operate. Sector 11 can be a slow sector a lot of the time; but when it has 5 aircraft; it can be complex and busy. The same for other sectors at times. It might not seem like a lot; but combined with frequency issues blocking each other; complexity goes up two fold. I would like to see all Front Line managers be certified on all sectors in the area; so that they understand.Maybe we can also track the busy flows and times for each sector; more than just watching and waiting to see a sector goes 'red' at the desk. Let's be proactive; and do it together. I would like to see controllers protect themselves better and ask for assists more; and ask for sectors to be split when needed; and not always worried about their next break. Again-we are in this together; and it's the whole culture that needs adjustment; it doesn't happen overnight. And finally and probably obviously-we should not continue to work more and more volume with less and less controllers; we think we are super controllers; and we are NOT. We need proper staffing to ensure a proper safety culture at ZDC. If we continue down this path; controllers will automatically think they can do it all; and the more this happens; the more likely an incident or worse; a tragic event will occur. And when it does-somehow it's 100% the controller's fault? Nine times out of ten there are at least several contributing factors to an incident; we've all seen the Swiss cheese poster on the wall. But I guess it's just for decoration; because no one here takes it seriously enough to make a change. Even a small change in the right direction is better than the 'blame game' and a shrug of the shoulders-'oh well-I can't do anything'. I for one have more integrity and work ethic to let this happen. I challenge this building; this operation; to come together and figure this out; as one. I am willing to contribute in any way I can to make this happen.,
1354011,staffing,Ozark Area had weather from the start of the shift. We started with 11 CPC's however our FLM left for a class so we needed to utilize a CIC. By the time I started working on sector 31 we had 20 Miles in Trail (MIT) for DFW and a line of weather running through the middle of our area. On multiple occasions; every CPC on the shift was working; no one on break. Ozark was required to get 20 MIT by the ZME boundary; however we were getting DFW arrivals from every direction and many aircraft were deviating around the weather. It was extremely difficult for us to meet all of our requirements at that time and keep everyone safe. There were occasions where we were told to reroute a/c for the weather; for TMU restrictions and for other sectors that have been alerted. I called ZME at one point and told them that we were having a difficult time getting out 20 MIT and asked for relief. They were more than willing to accommodate us. This is a phone call that TMU should have been making. Every sector at the time in Ozark was very busy. We shouldn't have to override TMU and do sector to sector coordination in these situations. Later; I spoke with other controllers from other areas and they said that they were having similar problems. This is an unsafe and inefficient situation that shouldn't have happened in the first place. Also; we had another supervisor that was assigned to RIVERS Area across the aisle. They were not as busy and had the same staffing. A controller from Rivers actually recommended that the FLM go back to our area to help and to put a CIC in charge because Ozark was swamped and he said; 'no; they'll be fine.' This is unacceptable.TMU needs to be held more accountable. Saying; 'we need 20 MIT' isn't an acceptable answer when we have weather and a high volume of traffic. TMU needs to be more proactive in helping its fellow controllers at ZKC. Problems like this happen more often than not with our TMU. Also; the OM should have had more of a hand in the situation. He even came in to the area at one point and just stood behind the controllers. Either come in to offer help or don't come in. This only makes the controllers uncomfortable and diverts their attention. I recommend that the OM be more involved. He should have told the FLM to put a CIC in at Rivers and go work in Ozark until the traffic died down. Or; pull the other supervisor from training and have him work the desk. TMU should have realized that Ozark was over their heads and helped by getting us relief on our in trail requirements or told our surrounding sectors to start in trail or moved a/c out of Ozark. OT should have been called. We need TMU/OM to 'have our backs' and they didn't.,
1354028,staffing,The area was short staffed. We only had 8 controllers to start the shift. The Supervisor left on leave so a CIC was stood up. As the evening went on every time I plugged in I would almost reach two hours on position. Other controllers did reach two hours or more. At one point sectors 20; 63; and 78 were combined up to give relief to a controller that was there on overtime and had been on position for more than 2 hours [without] a break. This resulted in the combined sector being red for well over an hour straight. The Controller working the sector was given a trainee that was not certified on one of the sectors that were combined as a D-side. The controller working the red sectors ended up on position for over two hours by himself. On top of that we were given reroutes for aircraft from TMU; but the points [where] the reroute took place were well inside ZFW center and there was no reason for us to give the change especially with the current workload. The new policy in the building during the day is that controllers are not allowed to work red sectors so we continually split sectors and we are told that TMU is doing something. Now we have controllers who are not used to working this volume of traffic and I feel as if TMU did nothing because they were still asking us to do more and they were going home anyway. This was probably one of the worst situations I have seen of not caring about the controllers from management. It repeatedly happens on the mid. Management is always acting concerned about volume when upper management is there during the day but not on the mid when they are at home.The fix to this would be to staff to 10 on a swing as this is not the first time that we had to hold people over because we are short staffed on the swing.,
1355104,staffing,I am writing this letter in regards to maintenance that was performed on two different aircraft; both MD80 aircraft; on two different nights. I; along with one other employee; was tasked to perform an 'A' Check on both aircraft. My shift begins at XA:00 at night.On the first night my assignment was handed out just after XA:00; and there was a meeting that was scheduled that I attended before starting the assignment for the night. It was approximately 20 minutes for the meeting before I started to gather paperwork and tooling that is required for the 'A' check on the aircraft. By the time I actually started working on the check was around XB:00 or just after. By the time I was done with exterior checks and the cargo checks that are performed in accordance with the paperwork for the A-Check; it was approximately XD:15. I had numerous write ups that I had reported to my Crew Chief; put into the log book; and put into our program that we are required to do by Management.After all the reports and entries were made; I had reduced my lunch time to XD:45 to XE:30; just because of the fact I knew our check was started late and due to a lack of maintenance vehicles to utilize. I had not even begun the work that was required for the engines or interior.By the time I got back out to the plane ready to work it was about XE:45. I had begun by trying to find stands to use that had hand guard rails for safety. Half of the stands that we have do not have guard rails which make it dangerous for the mechanics to use. The work and inspections that are required for the engines is not a simple or fast task. Another mechanic and I had worked on both of the engines together as far as opening and closing the cowls due to safety reasons.During the middle of the inspections is when the supervisor working came out at approximately XF:15 in the morning. He was there for the remainder of the check which had made me feel very uncomfortable; asking constantly for updated completion times. By the time the inspection; tasks; cleaning; making sure the cowls were secured safely and correctly; and all equipment moved out of the way; it was XG:15 in the morning. I believe the plane was due to fly out at XH:40.We had not even started on the interior checks that were due in the cabin; aft bay; or flight deck items.By this time I had a lot of paperwork that was due for the tasks that I had performed. I had equipment that had to be returned to stores that were checked out. I had tools that needed to be cleaned up. The supervisor remained in the office watching us stamp off paperwork and was surprised to hear that the check was not done yet and was going to be turned over to first shift.By that time we were told to finish the check in a threatening way. We went out to the plane to finish the check around XH:00 or a little after; finding the plane was completely boarded with passengers. We had to wait for the plane to de-board before we could start any interior checks. It was XH:30 before we started interior checks.When we started the interior checks I was constantly asked for updates again by the supervisor and another day manager who decided to come out and stare at us the whole time also when we were trying to finish. The check still did not get completed by us and a small portion of the check was turned over to day shift. I ended clocking out after XJ:00 in the morning.The next night I was assigned another 'A' Check again with one other employee. The assignments were passed out around XA:30. We did not get out to the aircraft to work on it until after XB:00 due to gathering all the paperwork; tooling and supplies for the check and no vehicles. This time the same supervisor was out on the plane for the almost the whole check. I again felt pressured and found it hard to concentrate on my work with this person watching me through this check.I am writing this letter per the ASAP program because I feel that my work was performed under pressure; and I was given an unrealistic time frame to complete these A-Checks with only one other employee in an 8 hour shift; and that time is reduced of actual hands on work because of gathering equipment; vehicles; required lunch break and the required paperwork documentation.There was shortage of man power provided to do the job by management. This led to unrealistic expectations to meet schedule.,
1355174,staffing,TRACAB [Terminal Radar Approach Control in Tower Cab] configuration for chronic staffing problem and to achieve training. I was CIC and Local Control; AR to the right and Ground Control training to the left. Traffic was mod-heavy. For all positions. Distraction is always a problem during TRACAB ops.I had 5-6 airplanes on frequency; 4 in the pattern and 1 Opposite Direction Operations (ODO) and another ODO enroute for VFR practice approaches. DBRITE was NOT available due to arrival working a 60 NM range airspace using it.Aircraft X had been doing touch and goes for a while; and turned his base without my sequence; and without asking; and clearly there was an aircraft on final (or perhaps maybe there was an aircraft on final because he knew he had 3 of his company aircraft in the pattern that he had been sequenced with before) that he got closed to approx. 1/2 mile. Pilot turned before he was given clearance from what I can remember; and when I realized it I gave him his sequence and then I could see him spaced himself well.This came up on from a TARP [Traffic Analysis and Review Program] review; 1 month later! I did not report it because the situation I believe was resolved. Pilot action contributed to this event; and watching a falcon replay and hind sight situation is much easier than actually working 5-6 real airplanes! I take responsibility for my part on what happened; I was busy with 5-6 airplanes clumped up together on the DBRITE and TRACAB configuration and DBRITE in a 60 NM range.I feel that after reading the PRC [review] written from this TARP; the threat of 'this shouldn't happen again' is a threat and I feel I HAVE TO PERFORM perfect all the time or else. And to ask that of me and all of us controllers here at HUF without considering the fact that we are always put in an unsafe situation working these type of traffic many times without AN EQUIPMENT and PROPER STAFFING first undermine safety; and the well-being and moral of the facility.Fix the staffing issue.Occasional meeting with tenant flight TRAINING academy. Appreciate your controllers more.,
1364411,staffing,This was a mid shift with lower staffing on a holiday. Lots of convective weather all through the southwest USA and up to Nebraska and further north. There were breaks in the weather through all of my airspace and south. With a few breaks up in Colorado but as the night progressed the northern breaks in the weather closed off so all aircraft were being routed or deviated through my airspace. There were too many planes and too much miscommunication for me to issue any depicted precipitation to multiple aircraft per 7110.65 and further emphasized by our local .149. As a Certified Professional Controller I was unable to coordinate with all the downstream sectors for the directions that aircraft were deviating. I also was unable to accommodate 4th [line] coordination. At one point in the evening ZKC had called and said they wouldn't take handoffs if I didn't get 4th line deviation information in. There were so many planes that I did not follow protocol on I cannot recall all of the aircraft ID's.As air traffic continues to increase more and more in volume it is ridiculous that Traffic Management Coordinators go home and it is a free for all for aircraft with no relief from Traffic Management Unit. There should have been Traffic Management Initiatives to prevent so many aircraft through one area. The Operations Manager In Charge did an amazing job of trying to assist 'in house' with routing planes out of the airspace or further south where there was no weather but it still was not enough. Additionally he had called the command center and was told 'they would see what they could do.' Planes should have taken delays on the ground rather than allowing a small section of airspace to become so saturated.,
1367082,staffing,I had just taken possession of Ground Control with flight data/clearance delivery combined because the FD/CD Controller was on his way home sick. A rescue vehicle called to relocate from the base of the tower over to the west end of the airport. Initially; I told the vehicle to hold short of the crossing runway (Runway 21) as I was busy helping to sign out the controller going home. Runway 21 being active had already been coordinated with me for an inbound landing. After working on the computer I turned to notice the vehicles approaching Runway 21 at Taxiway alpha and forgot why I was holding them there; and told them to cross the runway. I saw that we had an aircraft on final and instructed local to send them around while the vehicles were crossing. He did so and the aircraft circled for Runway 21 and landed safely.I should have been more aware that I stopped that aircraft for a reason. Had I moved back to my working position at ground; I would have seen why and used the placards and info written down in front of me as a reminder to leave them where they were (already holding short of the runway for an inbound).The shift was very short-staffed and I was being used for staffing and relief to support the operation. I was not anticipating losing another body to sick leave on an already short shift.,I called GC to call RWY 3/21 HOT per the TUS SOP. GC was in the middle of a clearance read back from an airliner. I looked over and quietly stated 'Runway 21 HOT' as the pilot was reading his clearance back to GC; GC read back '21 HOT'. Aircraft X was cleared to land on RWY 21 and very short final (2 minutes later) I saw 3 fire trucks crossing RWY 21 at Taxiway A. GC (the supervisor on duty as well) stated out loud 'Send that guy around' and I complied with the instruction; sending him around. Aircraft X landed without incident after one trip around the pattern.I won't state '21 HOT' when someone is listening to a clearance. I will watch vehicles even when not on my frequency; workload permitting.
1369185,staffing,I am submitting this report to clarify an event completed by a ARTCC Area 4 controller regarding staffing and sector configurations. I was made aware of the event by the facility representative who was concerned about the late night staffing in Area 4.I was the OMIC (Operations Manager In Charge) that evening. When I reported; I was briefed by the dayshift WSIC (Watch Supervisor In Charge) that Area 4 had 8 people (6 CPC and 2 D Sides). If there was a request for OT (Overtime) it would have occurred on the dayshift. The area ran routinely for the first part of the evening with 8 people and a FLM. Area 4 normally schedules 3 people on 4-midnight [weekend] shifts and routinely allows one of those people to take leave without backfill. Overall; the 8 people were not overworked in terms of total TOP (Time On Position) with the shift average at 278 minutes. However; late in the evening after I had gone home; I was told that staffing was insufficient. My investigation revealed a confluence of factors led 2 controllers to work extremely hard for the last 90 minutes of their shift. There was late traffic and weather. Normally ZZZ ARTCC works sub 4000 counts on [weekends] and rarely are any of ARTCC's sectors overload on [weekends]- it's our slowest day of the week and Area 4 routinely runs with 3 sectors open on [weekends]. The Area sup had left at XA:30 to meet fatigue requirements for a return at XJ:30. The OM (me) had also left at XA:30 in order to return at XJ:30 the next morning. The midnight sup was handling Area 4 and the situation did not develop until the two people working [the evening shift] had already departed for the evening. This left only the two 4-midnight controllers working two busy sectors without any additional personnel to coordinate or open additional sectors. Had the weather/traffic been predictable; or had the Area 4 sup not gone home for the evening; one of the [evening] people would have been held over for 1-2 hours of overtime.I have already discussed with the Representative for ZZZ ARTCC; the Area 4 rep; the Area 4 manager; and the Area 4 scheduler to backfill for the remainder of the convective season with a third controller working 4-midnight on [weekends]. This is primarily a result of the fact that we cannot force the midshift personnel to report any earlier than XD:54. Each of the following 2 weeks we held over [evening] staffing on OT until the scheduler could properly schedule additional personnel more than 1 pay period out. Additionally as a countermeasure; I have asked the FLM in Area 4 to evaluate traffic and CIC coverage to make a week by week determination on their own shift. Some weeks it may be better for the FLM to stay until [the late evening] even though it means they cannot report the next day until [morning]. They need to weigh staffing/CIC coverage each [weekend].,
1371633,staffing,During this event; I was the controller working the Arrival 1 and Arrival 2 sectors. During this time; we had 2 TFRs active because of the [dignitary] visiting the area. Traffic was very heavy and complex as I was sequencing aircraft to [parallel runways]. I had heavy base leg and downwind traffic at the time. I had so many aircraft on frequency that the number of aircraft checking on my frequency with very long and wordy initial contacts made if very frustrating and difficult for me to make timely transmissions at times. I had base leg traffic and downwind traffic going to both runways. I got behind when at the very last second and in a very untimely fashion; I was told to assign as Aircraft X; a General Aviation aircraft; Runway XYZ when it was already assigned Runway XYA by the feeder controller.I was told by the Front Line Manager (FLM) to make this reassignment when then the Aircraft X was only 15 miles northeast of [the] airport; which is a very untimely decision. This decision had to be made because; due to the [dignitary] TFRs; no General Aviation aircraft were allowed to go to Runway XYA; only air carriers and medevac flights. Nobody realized this until the traffic management coordinator approached the supervisor and made it clear. This created a wake turbulence situation between the Aircraft X and a large category aircraft in front of him. This last second change increased the complexity of this scenario because the base leg and downwind feeds were of a very high volume. Normally AR1 and AR2 are split in a much timelier fashion; but on this occasion; the Supervisor did not split the sectors when it was needed. I had never seen these combined sectors so busy without being split off. The Supervisor later approached me and apologized for putting me in this predicament.When this 'PUSH' came to an end; there were still many aircraft in the Arrival sectors. I was very distracted and frustrated with the situation which was forced on me by the Supervisors. All aircraft were sequenced and cleared for a Visual Approach. I had several wake turbulence situations during this session which also took a lot of attention and time and trailing aircraft were not getting the preceding traffic in sight dependably. I lost in trail separation between Aircraft Y and Aircraft Z which were both already cleared for a Visual Approach to runway XYA. Closest proximity was 1.93 NM and 100 feet. Aircraft Z had a very large overtake which caused the spacing; which was adequate when I cleared him for the visual approach; to decrease very rapidly. I did not see this situation because of data block overlap on my scope. When I finally saw the unsafe situation and attempted to use visual separation; separation had already been lost. I attempted to get Aircraft Z to get Aircraft Y in sight and use visual separation incorrectly. Aircraft Z did get Aircraft Y in sight; and I instructed Aircraft Z to 'follow' the traffic to runway XYA. The pilot of Aircraft Z agreed to do so. I then changed my mind because I believed it was an unsafe situation. I immediately cancelled Aircraft Z approach clearance and sequenced him successfully. The sectors were finally split after I had the error.I recommend that Supervisors pay more attention to rapidly developing situations that are made more complex by TFRs. These two sectors are always split off for much less traffic than I had during this period. I recommend that Supervisors do not wait until the last minute to make decisions. Sectors should be split before workload becomes too overwhelming.,
1371914,staffing,Area 1 at ZOB has 4 Supervisors assigned to the area. Because of this shortage we don't have sufficient coverage of all shifts by a supervisor. This particular morning there wasn't a Supervisor scheduled till [the morning] because said supervisors had worked the night before till [late in the evening] so they were not allowed to begin the morning shift till XA:00. I was working the morning inbound push when the approach controller called to coordinate that they needed 250 knots over the inbound fix. One minute later they called again to make sure I was aware that they were expecting 15 Miles in trail also.Apparently [airport X] was down to a single runway operation due to construction. None of this information was ever coordinated to the Area from Traffic Management Unit or the Operations Manager (OM). The OM knew we didn't have supervision until XA:00 because he reminded us around [an hour before] that if we had any issues that we could call him at his desk. Turns out; all the restrictions for the Area were on the computer at the Supervisor's desk waiting to be put on the board. Due to the lack of supervision I was forced to use excessive vectors to achieve the required spacing to accommodate [Airport X] reduced arrival rate.,
1371928,staffing,I was working Radar/Satellite and Controller in Charge (CIC) in a combined tower configuration. A co-worker was working Local Control; Ground Control; and Flight Data combined in the tower. [Airport Operations] made an initial call for clearance on to Taxiway Alpha and Runway 22 for surface inspections. Ground Control cleared [Airport Operations] on to the requested taxiway and Runway 22. Aircraft X called ready for taxi and received instructions from Ground Control. Aircraft X was cleared for takeoff on Runway 22. [Airport Operations] called Ground Control and advised that he had never been told to exit the runway for the departing aircraft. After learning what had happened; Ground Control asked that [Airport Operations] call the tower at his first convenience. On the phone; [Airport Operations] advised that he was clear of the runway only because he was monitoring the frequency while working and quickly exited upon hearing Local Control issue a takeoff instruction.It is important to note that in this incident; the individual working Local; Ground; and Flight Data did not follow a local procedure and failed to use the required [reminder aid] when someone has been given clearance on to an active runway. As Controller in Charge I did not hear him issue a vehicle clearance on to the runway because I was performing CIC functions and working a position. Due to me not hearing the initial clearance on to the runway; no [reminder aid] being used and not a single other transmission being made to the truck between the time he was given clearance on to the runway and Aircraft X being cleared; no 'flag' was raised on my part as to (A) why the [reminder aid] was not being utilized as required and (B) why a takeoff instruction had been given with a vehicle on the departure end of Runway 22.All personnel must use required [reminder aid] devices at all times. I feel that a CIC combined with a position is ineffective. This is a perfect example. It is not practical to assume that a person working a position and performing required CIC duties can 100 percent monitor other operations for safety. Prior to this and obviously now; I strongly believe that a standalone CIC should be required. This is the only way that the operation and frequencies will be monitored to prevent events like this from happening.,
1373047,staffing,I was told to work all Ground Control positions plus Metering combined as the traffic was dying down and we were short staffed. We were issuing reroutes due to weather and the workload was increased from having to reissue clearances. Aircraft Y was turning from Taxiway Charlie onto Taxiway Bravo in front of Aircraft X that was on Alpha going to Delta. Aircraft X was instructed to pass behind Aircraft Y. I was working all of the Ground Control positions and Metering and the frequencies were still congested with planes calling to push and taxi on multiple frequencies. I thought the pass behind instruction was issued timely enough but Aircraft X called to complain that he had to 'slam on the brakes.'  In retrospect if I was only working one Ground the call would have been made earlier. Everywhere I have worked this has been a common problem; positions being combined that should remained split due to low staffing. This is the greatest threat to the National Airspace System in my opinion.,
1373873,staffing,I assumed R06 position and complexity and volume was very high. Lots of weather; lots of deviation and holding over RMG. I was working aircraft that were deviating so much they sometimes didn't enter my airspace. ZME was giving point outs of R37 and I was working the aircraft sometimes 30 miles in their airspace. I always got control before I descended the aircraft but I may not have gotten control for turns on all of them. In the fourth line of data block all of the aircraft said 'D/RMG' or something to that effect. I thought that if I turned an aircraft a few degrees right or left and that R37 knew it was deviating that wouldn't be a problem.I was far too busy to call and coordinate on every aircraft. I needed help from the very start and once I received a D side the sector ran much smoother.STAFFING! STAFFING! STAFFING! Area 6 needs to be much better staffed when volume is expected to be high and especially in summer when you know you'll have lots of weather.,
1375176,staffing,The Controller in Charge (CIC) warned me about 10 minutes before it started that I was going to get busy. As soon as I saw about 6 handoffs flashing from 2 different sectors I asked for and got a D side [radar assist]. When I saw all the limited [radar data tags] approaching my airspace I called for more help and got an L side [coordinator]. If my CIC knew it was coming; the Bay 2 supervisor should have known this was happening in sector 38. I don't know if they had a D side and L side; but if they didn't; something should be done! This was an absolute failure of the NAS tonight. And where was TMU; what were they doing about this? As soon as I got out of position I walked up to the Operations Manager desk and the Operations Manager; the Supervisor of TMC (Traffic Management); and someone else were [casually talking]. They didn't even know what had just happened. Isn't it in ALL of our job descriptions; whether we are ATCS [controllers] or Supervisors of ANY level; to ensure the safety of the NAS? This did not happen tonight. I know I'm not the only controller to experience this kind of situation this summer. I didn't even have a deal tonight. I upset a lot of pilots; was absolutely embarrassed at my performance because I didn't know what to do. This is unacceptable that we have to deal with this kind of added stress on top of our already stressful job.How about EVERYONE do their job. Take some pride in what they do. Stop saying oh well; the controllers will deal with it...they always do. Also; we need coordinator positions in the ARTCC environment. We had them in approach control in the [military] and they were there for when it got busy and they would plug in and think outside of the box to help alleviate the work load or complexity or do any coordination that needed to take place within the area. We were so far behind we could not safely complete the briefing so he just plugged in behind me and 'helped'. He saved me from at least one deal with one of the inappropriate altitude aircraft that came from R38. We worked together to keep me going; they saved me.,
